Ticker,Company Name,Current Price,Low PT,Avg PT,High PT,# Analyst,LowPT/Curr%,AvgPT/Curr%,HighPT/Curr%,Rating
LPLA,LPL Financial,80.58,79,96.07,118.5,7,-2.00%,19.20%,47.10%,7
HDS,"HD Supply Holdings
",40.86,36,43.4,51,11,-11.90%,6.20%,24.80%,3
FND,"Floor & Decor Holdings
",75.05,65,77.64,85,14,-13.40%,3.50%,13.30%,6
WEX,WEX,146.3,155,180.44,225,9,5.90%,23.30%,53.80%,2
TAP,Molson Coors,34.29,31,42.7,55,10,-9.60%,24.50%,60.40%,6
LHCG,LHC Group,205.8,190,228.57,250,7,-7.70%,11.10%,21.50%,7
FSLR,First Solar,72.89,38,71.4,95,13,-47.90%,-2.00%,30.30%,9
DECK,Deckers Outdoor,214.4,211,246.2,265,11,-1.60%,14.80%,23.60%,9
MNTA,Momenta Pharma,52.37,36,50.19,53,10,-31.30%,-4.20%,1.20%,4
HII,"Huntington Ingalls
",145.2,158,181.86,205,7,8.80%,25.20%,41.20%,4
HTA,Healthcare,26.87,28,30.57,35,7,4.20%,13.80%,30.30%,10
ESTC,Elastic,103.7,100,127.54,145,13,-3.60%,23.00%,39.80%,10
MKSI,MKS Instruments,106.2,120,147.89,185,9,13.00%,39.30%,74.20%,7
LITE,"Lumentum Holdings
",71.94,84,106.27,120,15,16.80%,47.70%,66.80%,10
PVH,PVH,70.93,35,61.91,87,11,-50.70%,-12.70%,22.70%,6
BLD,TopBuild,155.2,114,157.9,180,10,-26.50%,1.70%,16.00%,7
EWBC,"East West Bancorp
",34.02,33,39.86,47,7,-3.00%,17.20%,38.20%,6
ZG,Zillow Group,91,28,83.06,110,20,-69.20%,-8.70%,20.90%,7
SITE,"SiteOne Landscape Supply
",118.7,85,118.75,150,8,-28.40%,0.00%,26.40%,5
LSTR,Landstar System,129.6,70,119.89,140,10,-46.00%,-7.50%,8.00%,7
KIM,Kimco Realty,12.97,11,13.8,16,11,-15.20%,6.40%,23.40%,6
ALK,Alaska Air,42.18,35,50.33,63,8,-17.00%,19.30%,49.40%,3
IPHI,Inphi,106.9,112,146.21,164,14,4.80%,36.80%,53.40%,8
EGP,"Eastgroup Properties
",134,130,135.86,144,7,-3.00%,1.40%,7.50%,6
XLRN,"Acceleron Pharma
",101.8,106,131.6,155,10,4.10%,29.30%,52.30%,10
HUN,Huntsman,23.04,17,23.33,29,14,-26.20%,1.30%,25.90%,5
PLNT,Planet Fitness,61,47,67.22,82,10,-23.00%,10.20%,34.40%,2
NVRO,Nevro Crop,144.5,139,153.33,165,10,-3.80%,6.10%,14.20%,5
PEGA,Pegasystems,123.3,112,138.44,163,9,-9.20%,12.30%,32.20%,7
WWD,Woodward,82.55,47,84,100,7,-43.10%,1.80%,21.10%,3
OLLI,"Ollie's Bargain Outlet Holding
",87.92,91,116.54,139,13,3.50%,32.60%,58.10%,9
PLUG,Plug Power,12.53,9,12.12,14,11,-28.20%,-3.30%,11.70%,9
TW,"Tradeweb Markets
",54.26,56,60.36,66,7,3.20%,11.20%,21.60%,6
RARE,"Ultragenyx Pharmaceutical
",81.23,64,87.27,99,11,-21.20%,7.40%,21.90%,5
HOG,Harley-Davidson,27.28,23,30.11,36,14,-15.70%,10.40%,32.00%,4
ACAD,"ACADIA Pharmaceuticals
",38.79,42,57.57,66,15,8.30%,48.40%,70.10%,3
NBL,Noble Energy,9.02,10,11.99,18,15,10.90%,32.90%,99.60%,7
WEN,Wendy's,21.86,21,24.42,28,15,-3.90%,11.70%,28.10%,8
QTWO,Q2 Holdings,88.44,95,111.82,125,12,7.40%,26.40%,41.30%,5
ATH,Athene Holding,35.87,38,46.29,72,7,5.90%,29.00%,100.70%,2
TPX,Tempur Sealy,94.09,82,109.38,130,11,-12.80%,16.30%,38.20%,10
GPK,"Graphic Packaging
",14.25,15,17.33,19,7,5.30%,21.60%,33.30%,9
WING,Wingstop,131.7,120,157.17,182,16,-8.90%,19.30%,38.20%,6
BRKR,Bruker,39.25,44,48.88,54,9,12.10%,24.50%,37.60%,5
HQY,Healthequity,51.02,60,66.2,70,7,17.60%,29.80%,37.20%,7
FRPT,Freshpet,110.9,67,99.88,130,9,-39.60%,-9.90%,17.20%,3
BL,BlackLine,81.78,71,89.43,95,7,-13.20%,9.40%,16.20%,7
EVBG,Everbridge,120.7,140,161.5,180,8,16.00%,33.80%,49.10%,5
RL,Ralph Lauren,80.62,61,76.94,90,9,-24.30%,-4.60%,11.60%,6
ARES,Ares Management,40.17,40,44,46,8,-0.40%,9.50%,14.50%,10
HALO,Halozyme,27.53,14,31.86,43,7,-49.10%,15.70%,56.20%,3
FL,Foot Locker,35.84,29,33.8,40,15,-19.10%,-5.70%,11.60%,6
SLG,SL Green Realty,49.9,47,57.2,75,7,-5.80%,14.60%,50.30%,6
KSS,Kohl's,23.13,14,19.25,27,9,-39.50%,-16.80%,16.70%,7
JBLU,JetBlue Airways,12.62,9,12.17,17,8,-28.70%,-3.60%,34.70%,3
OGS,ONE Gas,69.32,70,83,92,8,1.00%,19.70%,32.70%,4
FLS,Flowserve,28.19,25,30,33,7,-11.30%,6.40%,17.10%,2
EQT,EQT,14.25,12,17.38,24,13,-15.80%,22.00%,68.40%,8
DISCA,Discovery,23.82,20,26.8,33,11,-16.00%,12.50%,38.50%,3
MRO,Marathon Oil,4.34,5.4,6.81,9,15,24.40%,56.90%,107.40%,5
VRNS,Varonis Systems,112.4,91,125.27,145,16,-19.00%,11.50%,29.00%,7
CHH,Choice Hotels,98.09,77,88.7,104,10,-21.50%,-9.60%,6.00%,6
SAIA,Saia,133.6,66,124.88,150,8,-50.60%,-6.50%,12.30%,6
ASGN,ASGN,69.6,60,74,88,7,-13.80%,6.30%,26.40%,4
CRUS,Cirrus Logic,61.32,65,80.2,95,7,6.00%,30.80%,54.90%,9
DKS,"Dick's Sporting Goods
",57.44,50,59.29,71,18,-13.00%,3.20%,23.60%,9
INSP,"Inspire Medical Systems
",125.2,50,121.56,150,9,-60.10%,-2.90%,19.80%,3
YETI,Yeti Holdings,48.13,40,52.45,65,11,-16.90%,9.00%,35.10%,10
CHNG,"Change Healthcare
",14.57,15,17.89,22,9,3.00%,22.80%,51.00%,8
CFX,Colfax,33.82,27,34.57,40,7,-20.20%,2.20%,18.30%,5
POR,Portland GE,33.69,40,42.43,47,10,18.70%,25.90%,39.50%,1
GPS,Gap,16.87,14,18.2,28,16,-17.00%,7.90%,66.00%,3
AN,AutoNation,56.3,54,62.67,73,7,-4.10%,11.30%,29.70%,2
HL,"Hecla Mining Company
",5.8,3.5,6.53,11,8,-39.70%,12.60%,89.70%,6
WYND,"Wyndham Destinations
",33.68,36,41,45,7,6.90%,21.70%,33.60%,9
THC,"Tenet Healthcare
",28.37,25,30.22,35,9,-11.90%,6.50%,23.40%,8
NUVA,NuVasive,54.9,53,69,78,9,-3.50%,25.70%,42.10%,9
CPRI,Capri Holdings,21.15,15,19.13,25,10,-29.10%,-9.60%,18.20%,6
SYNA,Synaptics,83.71,90,100.83,120,7,7.50%,20.50%,43.40%,7
HRB,H&R Block,14.7,16,18.5,21,8,8.80%,25.90%,42.90%,4
RPD,Rapid7,62.06,60,71,80,11,-3.30%,14.40%,28.90%,5
CROX,Crocs,42.63,40,45.29,53,9,-6.20%,6.20%,24.30%,10
PTCT,"PTC Therapeutics
",47.59,45,61.29,86,8,-5.40%,28.80%,80.70%,6
SAGE,"SAGE Therapeutics
",58.52,53,69.82,87,14,-9.40%,19.30%,48.70%,6
PZZA,"Papa John's International
",86.15,95,106.67,115,10,10.30%,23.80%,33.50%,6
FEYE,FireEye,12.61,14,16.85,20,11,11.00%,33.60%,58.60%,5
NEWR,New Relic,57.74,54,66.7,78,12,-6.50%,15.50%,35.10%,4
PE,Parsley Energy,9.57,12,15.14,22,21,25.40%,58.20%,129.90%,5
PK,"Park Hotels & Resorts
",11.16,7,10.43,13,9,-37.30%,-6.50%,16.50%,5
SVMK,SVMK,22.54,27,28.14,30,7,19.80%,24.80%,33.10%,5
TDC,Teradata,22.35,17,26.4,36,7,-23.90%,18.10%,61.10%,2
TPH,Tri Pointe,17.36,17.5,20.75,24,7,0.80%,19.50%,38.20%,4
WERN,"Werner Enterprises
",45.19,40,48.6,55,10,-11.50%,7.50%,21.70%,9
AA,Alcoa,13.78,11,13.38,17,8,-20.20%,-2.90%,23.40%,8
ALRM,Alarm,57.46,55,67.5,79,7,-4.30%,17.50%,37.50%,7
AVNT,Avient,27.7,29,32.67,39,7,4.70%,17.90%,40.80%,7
MDLA,Medallia,29.15,32,39.75,52,8,9.80%,36.40%,78.40%,8
GDOT,Green Dot,49.74,48,58,75,11,-3.50%,16.60%,50.80%,8
DOOR,"Masonite International
",94.36,84,98.86,120,8,-11.00%,4.80%,27.20%,9
AEIS,"Advanced Energy Industries
",60.71,66,83.5,90,7,8.70%,37.50%,48.20%,6
SFM,Sprouts Farmers,20.61,20,28.86,39,10,-3.00%,40.00%,89.20%,8
STL,"Sterling Bancorp
",11.22,12,15.33,20,7,7.00%,36.60%,78.30%,5
BYD,Boyd Gaming,29.17,23,30,40,10,-21.20%,2.80%,37.10%,5
XNCR,Xencor,40.77,21,43,52,8,-48.50%,5.50%,27.50%,6
ADS,"Alliance Data Systems
",44.36,45,62.5,87,7,1.40%,40.90%,96.10%,6
NAV,Navistar,42.94,27,38.83,45,8,-37.10%,-9.60%,4.80%,9
UAA,Under Armour,11.66,5,10.88,15,10,-57.10%,-6.70%,28.60%,1
TRIP,TripAdvisor,21.04,16,24.33,30,13,-24.00%,15.60%,42.60%,5
APPN,Appian,60.42,38,49.33,57,7,-37.10%,-18.40%,-5.70%,5
VC,Visteon,76.88,28,68.5,87,7,-63.60%,-10.90%,13.20%,9
EXLS,"Exlservice Holdings
",67.04,64,73.17,86,8,-4.50%,9.10%,28.30%,4
CCXI,ChemoCentryx,52.96,63,75.14,100,7,19.00%,41.90%,88.80%,8
DNLI,"Denali Therapeutics
",37.27,35,40.71,45,7,-6.10%,9.20%,20.70%,8
CARG,CarGurus,23.85,27,34.17,39,8,13.20%,43.30%,63.50%,9
JACK,Jack In The Box,84.47,64,88.82,100,11,-24.20%,5.10%,18.40%,2
EAT,"Brinker International
",45.72,28,41.38,55,17,-38.80%,-9.50%,20.30%,8
UA,Under Armour,10.74,9,9.4,11,7,-16.20%,-12.50%,2.40%,2
SHO,Sunstone Hotel,8.44,6,9,12,7,-28.90%,6.60%,42.20%,6
PINC,Premier,31.61,32,35.88,39,9,1.20%,13.50%,23.40%,3
SIX,Six Flags,24.82,17,21.5,30,9,-31.50%,-13.40%,20.90%,4
OI,O-I Glass,11.66,10,12.29,15,8,-14.20%,5.40%,28.60%,5
WPX,WPX Energy,4.67,7,9.1,12,13,49.90%,94.90%,157.00%,6
ALGT,"Allegiant Travel Company
",141.8,104,148.22,200,9,-26.70%,4.50%,41.00%,8
AQUA,"Evoqua Water Technologies
",20.65,20,22.67,26,7,-3.10%,9.80%,25.90%,5
OLN,Olin,11.76,10,12.75,17,8,-15.00%,8.40%,44.60%,7
WWE,World Wrestling,41.38,35,49.43,66,8,-15.40%,19.50%,59.50%,5
HUBG,Hub Group,51.92,44,55,62,8,-15.30%,5.90%,19.40%,2
EHTH,Ehealth,77.85,98,138,200,11,25.90%,77.30%,156.90%,5
APLS,"Apellis Pharmaceuticals
",31.88,31,48.5,62,7,-2.80%,52.10%,94.50%,2
ELY,Callaway Golf,19.74,20,22.14,25,7,1.30%,12.20%,26.60%,9
ADNT,Adient,17.91,13,20.57,26,8,-27.40%,14.90%,45.20%,2
ALLO,"Allogene Therapeutics
",36.09,37,50.2,55,7,2.50%,39.10%,52.40%,5
COMM,"CommScope Holding
",9.59,10.75,13.79,18,7,12.10%,43.80%,87.70%,1
HP,"Helmerich & Payne
",16.75,11.5,20.44,28,9,-31.30%,22.00%,67.20%,2
RLJ,RLJ Lodging,10.18,8,10.21,12,8,-21.40%,0.30%,17.90%,2
URBN,"Urban Outfitters
",23.25,18,24.67,30,19,-22.60%,6.10%,29.00%,3
UFS,Domtar,27.09,16.69,31.24,42,8,-38.40%,15.30%,55.00%,9
EGHT,8X8,15.55,12,20.56,29,9,-22.80%,32.20%,86.50%,5
JWN,Nordstrom,14.95,11,17,30,9,-26.40%,13.70%,100.70%,4
INO,"Inovio Pharmaceuticals
",16.55,8,19,36,8,-51.70%,14.80%,117.50%,10
MXL,Maxlinear,23.98,27,32.75,40,10,12.60%,36.60%,66.80%,7
PMT,"PennyMac Mortgage
",17.59,18,19.4,21,7,2.30%,10.30%,19.40%,5
WGO,"Winnebago Industries
",48.52,60,67.83,75,7,23.70%,39.80%,54.60%,8
PS,Pluralsight,17.87,20,24.11,26,10,11.90%,34.90%,45.50%,7
VIRT,Virtu Financial,26.85,24,26.71,31,7,-10.60%,-0.50%,15.50%,8
COOP,Mr Cooper Group,21.97,14,19.83,26,7,-36.30%,-9.70%,18.30%,10
MDRX,Allscripts,8.45,5.5,9.55,13,12,-34.90%,13.00%,53.80%,6
MUR,Murphy Oil,10.75,10,15.14,22,13,-7.00%,40.80%,104.70%,2
YEXT,Yext,15.5,13,20.75,26,9,-16.10%,33.90%,67.70%,8
SAVE,Spirit Airlines,18.4,15,20.6,29,8,-18.50%,12.00%,57.60%,3
RRC,Range Resources,7.58,4,7.62,14,14,-47.20%,0.50%,84.70%,7
YELP,Yelp,22.86,20,25.11,34,12,-12.50%,9.80%,48.70%,8
ATRC,Atricure,41.39,50,55.86,63,7,20.80%,35.00%,52.20%,8
AVYA,Avaya Holdings,14.99,17,19.14,22,7,13.40%,27.70%,46.80%,7
BBBY,"Bed Bath & Beyond
",12.88,3,9.75,18,13,-76.70%,-24.30%,39.80%,9
AIMT,"Aimmune Therapeutics
",34.31,15,34.25,50,10,-56.30%,-0.20%,45.70%,4
BLMN,Bloomin' Brands,16.72,12,14.88,20,9,-28.20%,-11.00%,19.60%,7
SWN,"Southwestern Energy
",2.47,2,3.14,4.5,12,-19.00%,27.10%,82.20%,5
JELD,JELD-WEN,22.6,14.5,21.55,27,12,-35.80%,-4.60%,19.50%,6
BILL,"Bill.com Holdings
",87.26,90,109.38,120,9,3.10%,25.30%,37.50%,4
MTSI,"MACOM Technology Solutions Holdings
",33.69,35,43.38,53,8,3.90%,28.80%,57.30%,6
SNDR,"Schneider National
",25.75,25,27.57,30,7,-2.90%,7.10%,16.50%,4
UPWK,Upwork,15.38,17,18.43,20,7,10.50%,19.80%,30.00%,10
ZGNX,Zogenix,25.11,25,46.29,68,9,-0.40%,84.30%,170.80%,3
SWCH,Switch,15.69,19,22,24,7,21.10%,40.20%,53.00%,2
CAKE,"Cheesecake Factory
",30.93,18,24.92,30,14,-41.80%,-19.40%,-3.00%,3
SC,"Santander Consumer USA
",17.74,14.5,19.93,22,7,-18.30%,12.30%,24.00%,1
HRTX,"Heron Therapeutics
",15.69,19,33.86,70,8,21.10%,115.80%,346.10%,5
CNK,"Cinemark Holdings
",12.64,12,16.82,23,11,-5.10%,33.10%,82.00%,6
TEX,Terex,20.66,15,21.44,30,9,-27.40%,3.80%,45.20%,5
CHX,ChampionX,9.83,12,13.95,17,8,22.10%,41.90%,72.90%,2
CSII,"Cardiovascular Systems
",35.3,40,44,47,7,13.30%,24.60%,33.10%,9
INFN,Infinera,6.41,5,8.85,15,10,-22.00%,38.10%,134.00%,9
AXNX,"Axonics Modulation Technologies
",41.17,45,52.43,59,7,9.30%,27.40%,43.30%,3
PDCE,PDC Energy,12.77,18,21.1,25,10,41.00%,65.20%,95.80%,5
MBUU,Malibu Boats,49.91,55,66,77,7,10.20%,32.20%,54.30%,10
NMIH,NMI Holdings,19.14,18,21.5,25,8,-6.00%,12.30%,30.60%,8
MCRB,"Seres Therapeutics
",27.65,24,33.36,41,8,-13.20%,20.70%,48.30%,9
RRR,"Red Rock Resorts
",18.32,14,18.29,21,7,-23.60%,-0.20%,14.60%,10
CYTK,Cytokinetics,22.89,35,41.57,59,7,52.90%,81.60%,157.80%,8
HCAT,Health Catalyst,36.11,34,38.5,43,7,-5.80%,6.60%,19.10%,6
CLR,"Continental Resources
",13.86,12,16.31,20,16,-13.40%,17.70%,44.30%,4
ADT,Adt,9.41,11,14.38,17,8,16.90%,52.80%,80.70%,8
SEAS,SeaWorld,21.52,13,19.88,29,8,-39.60%,-7.60%,34.80%,1
ICPT,"Intercept Pharma
",44.37,46,67.76,140,23,3.70%,52.70%,215.50%,1
PRO,PROS Holdings,32.4,30,47.14,80,7,-7.40%,45.50%,146.90%,6
MDGL,"Madrigal Pharmaceuticals
",108,114,178.89,230,9,5.60%,65.60%,113.00%,7
CWH,"Camping World Holdings
",30.79,30,38.29,49,8,-2.60%,24.40%,59.10%,10
ANF,"Abercrombie Fitch
",15.62,9,13.22,20,9,-42.40%,-15.40%,28.00%,1
COTY,Coty,3.28,3.5,4.71,7,7,6.70%,43.60%,113.40%,1
WHD,Cactus,20.92,19,23.63,28,8,-9.20%,13.00%,33.80%,4
SONO,Sonos,14.34,13.86,16.91,20,7,-3.30%,17.90%,39.50%,5
BOOT,Boot Barn,29.89,17,25.67,31,9,-43.10%,-14.10%,3.70%,4
WW,"WW International
",20.49,32,34.17,36,7,56.20%,66.80%,75.70%,5
ATRA,"Atara Biotherapeutics
",15.85,14,35.2,78,7,-11.70%,122.10%,392.10%,10
RTRX,Retrophin,19.77,21,29.71,38,7,6.20%,50.30%,92.20%,9
MTDR,"Matador Resources
",9.27,10,12.23,14,12,7.90%,31.90%,51.00%,7
DK,"Delek US Holdings
",12.33,13,19.85,35,13,5.40%,61.00%,183.90%,2
HTLD,"Heartland Express
",19.94,17,21.88,26,9,-14.70%,9.70%,30.40%,2
RCKT,"Rocket Pharmaceuticals
",24.89,33,36.33,43,8,32.60%,46.00%,72.80%,6
KPTI,"Karyopharm Therapeutics
",16.1,20,31.67,41,9,24.20%,96.70%,154.70%,4
EVH,Evolent Health,12.75,8,14.69,20,9,-37.30%,15.20%,56.90%,7
FOCS,"Focus Financial Partners
",30.97,36,42.29,50,7,16.20%,36.60%,61.40%,7
PBF,PBF Energy,7.37,6,11.71,19,8,-18.60%,58.90%,157.80%,2
BJRI,"BJ's Restaurants
",36.59,18,26.58,39,13,-50.80%,-27.40%,6.60%,6
SPWR,SunPower,10.92,3.27,8.43,13,8,-70.10%,-22.80%,19.00%,7
SWI,SolarWinds,19.57,15,20.5,25,8,-23.40%,4.80%,27.70%,7
TPIC,TPI Composites,27.65,26,32.89,37,9,-6.00%,19.00%,33.80%,10
PING,"Ping Identity Holding
",31.16,33,35,37,12,5.90%,12.30%,18.70%,9
BRBR,BellRing Brands,19.34,20,22.43,25,8,3.40%,16.00%,29.30%,5
AR,"Antero Resources
",2.97,2.5,3.67,5.8,11,-15.80%,23.60%,95.30%,2
IMAX,IMAX,13.95,12,16.21,21,7,-14.00%,16.20%,50.50%,8
IMVT,Immunovant,39.82,26,42.75,52,8,-34.70%,7.40%,30.60%,10
ARCB,ArcBest,32.67,25,35.38,43,9,-23.50%,8.30%,31.60%,7
TRHC,"Tabula Rasa HealthCare
",41.85,46,62.22,83,9,9.90%,48.70%,98.30%,9
HOME,At Home Group,15.78,16.5,19.5,22,7,4.60%,23.60%,39.40%,10
TBIO,Translate Bio,14.38,25,31.83,40,7,73.90%,121.30%,178.20%,8
NOVA,"Sunnova Energy International
",26.32,21,28.33,43,9,-20.20%,7.60%,63.40%,7
PTEN,Patterson-UTI,3.5,2,3.98,6,10,-42.90%,13.70%,71.40%,6
NXGN,"NextGen Healthcare
",13.42,12,14.57,23,8,-10.60%,8.60%,71.40%,4
ECHO,"Echo Global Logistics
",27.03,21,27.67,35,9,-22.30%,2.40%,29.50%,6
GRPN,Groupon,27.27,19,28.14,36,7,-30.30%,3.20%,32.00%,5
ONEM,"1Life Healthcare
",29.42,28,35.71,43,7,-4.80%,21.40%,46.20%,5
CNST,"Constellation Pharmaceuticals
",23.99,20,42.29,75,8,-16.60%,76.30%,212.60%,7
AERI,Aerie Pharma,11.7,20,27.5,35,9,70.90%,135.00%,199.10%,2
GTES,"Gates Industrial
",12.03,12,13.44,16,8,-0.20%,11.70%,33.00%,7
WETF,"WisdomTree Investments
",3.4,3,3.96,4.8,7,-11.80%,16.50%,41.20%,4
VKTX,"Viking Therapeutics
",6.53,12,15.43,21,9,83.80%,136.30%,221.60%,7
BTAI,"Bioxcel Therapeutics
",48.5,63,113.57,175,7,29.90%,134.20%,260.80%,7
PLCE,"Children's Place
",31.86,14,20.88,35,8,-56.10%,-34.50%,9.90%,5
PRPL,"Purple Innovation
",22.89,25,27,31,7,9.20%,18.00%,35.40%,9
CBAY,"CymaBay Therapeutics
",6.64,9,13.43,20,8,35.50%,102.30%,201.20%,8
PUMP,"Propetro Holding
",5.14,6.5,7.25,9,8,26.50%,41.10%,75.10%,5
ELF,e.l.f. Beauty,17.69,20,23.63,25,9,13.10%,33.60%,41.30%,8
AKBA,"Akebia Therapeutics
",2.67,3,6.86,10,8,12.40%,156.90%,274.50%,4
TCRR,"TCR2 Therapeutics
",19.27,25,33.38,40,8,29.70%,73.20%,107.60%,8
ALBO,Albireo Pharma,39.82,62,69.86,81,8,55.70%,75.40%,103.40%,9
FLXN,"Flexion Therapeutics
",12.5,15,22,35,9,20.00%,76.00%,180.00%,7
AMAG,"Amag Pharmaceuticals
",9.75,8,10.25,14,7,-17.90%,5.10%,43.60%,7
PBYI,"Puma Biotechnology
",10.03,9,11.83,15,7,-10.30%,17.90%,49.60%,3
LOVE,"The Lovesac Company
",26.73,32,37.14,43,7,19.70%,38.90%,60.90%,9
SLCA,"US Silica Holdings
",3.56,2.5,3.56,4.5,7,-29.80%,0.00%,26.40%,3
NBR,"Nabors Industries
",29.3,15,31.93,45,8,-48.80%,9.00%,53.60%,1
VYGR,"Voyager Therapeutics
",10.9,14,19.14,26,8,28.40%,75.60%,138.50%,5
HT,"Hersha Hospitality
",6.39,4,5.83,8,7,-37.40%,-8.80%,25.20%,3
SM,SM Energy,2.11,3,3.5,4.5,8,42.20%,65.90%,113.30%,3
AAOI,"Applied Optoelectronics
",10.44,10,16.43,22,7,-4.20%,57.40%,110.70%,6
NPTN,NeoPhotonics,6.28,6.5,9.9,13,7,3.50%,57.60%,107.00%,3
MNK,Mallinckrodt,1.13,1,1.63,2.5,9,-11.50%,44.20%,121.20%,2
NXTC,NextCure,9.17,11,18.83,30,8,20.00%,105.30%,227.20%,5
MRNS,Marinus,3.18,5,7.14,9,8,57.20%,124.50%,183.00%,8
DNB,"Dun & Bradstreet Holdings
",25.51,24,28.92,31,13,-5.90%,13.40%,21.50%,7
NXPI,"NXP Semiconductors
",128.5,110,133.82,175,18,-14.40%,4.10%,36.20%,10
PG,"Procter & Gamble
",137.7,125,141.08,153,12,-9.20%,2.50%,11.10%,5
ADBE,Adobe,476,500,559.24,600,17,5.00%,17.50%,26.10%,9
PYPL,Paypal Holdings,180.9,195,219.87,285,32,7.80%,21.50%,57.50%,10
CRM,Salesforce,250.6,160,264.11,300,30,-36.20%,5.40%,19.70%,10
INTC,Intel,50.37,45,57.32,82,32,-10.70%,13.80%,62.80%,4
NFLX,Netflix,483.8,220,522.68,625,35,-54.50%,8.00%,29.20%,5
BAC,Bank of America,25.6,23,26.29,31,12,-10.20%,2.70%,21.10%,7
WMT,Walmart,136.2,130,147.92,160,27,-4.60%,8.60%,17.50%,9
ABT,Abbott Labs,105.7,94,117.55,136,14,-11.10%,11.20%,28.70%,9
MCD,McDonald's,224.8,195,218.67,245,21,-13.30%,-2.70%,9.00%,6
ABBV,AbbVie,89.78,105,111.43,127,9,17.00%,24.10%,41.50%,10
AMGN,Amgen,247.7,215,266.14,300,16,-13.20%,7.40%,21.10%,8
NKE,Nike,118.5,95,119.87,150,27,-19.80%,1.20%,26.60%,9
AVGO,Broadcom,367,360,405.48,450,25,-1.90%,10.50%,22.60%,8
NEE,NextEra Energy,280.3,246,287.33,330,10,-12.20%,2.50%,17.70%,10
LIN,Linde,248.8,217.91,274.77,320,14,-12.40%,10.40%,28.60%,6
TXN,"Texas Instruments
",139.6,108,141.52,165,22,-22.60%,1.40%,18.20%,4
LLY,Eli Lilly & Co,150.9,164,176.38,190,9,8.70%,16.90%,25.90%,8
HON,"Honeywell International
",170,144,164.83,190,14,-15.30%,-3.00%,11.80%,7
C,Citigroup,46.02,56,66,87,17,21.70%,43.40%,89.00%,4
LMT,Lockheed Martin,395.5,400,435,509,8,1.10%,10.00%,28.70%,9
MDLZ,"Mondelez International
",57.97,58,62.67,68,13,0.10%,8.10%,17.30%,9
MO,Altria Group,41.76,37,48.44,68,10,-11.40%,16.00%,62.80%,9
ZTS,Zoetis,161.2,150,168.22,185,11,-6.90%,4.40%,14.80%,3
TGT,Target,147.9,127,164.68,180,20,-14.10%,11.30%,21.70%,7
D,Dominion Energy,81.6,68,80.33,92,14,-16.70%,-1.60%,12.70%,7
GS,"Goldman Sachs Group
",200.6,192,240.79,285,16,-4.30%,20.00%,42.10%,5
EQIX,Equinix,767.3,700,831.25,893,17,-8.80%,8.30%,16.40%,6
BDX,"Becton Dickinson
",227,270,283.67,300,8,18.90%,25.00%,32.20%,7
ITW,"Illinois Tool Works
",199.5,162,186.42,205,12,-18.80%,-6.60%,2.80%,5
DE,Deere,215.4,160,218.69,247,16,-25.70%,1.50%,14.70%,10
ATVI,"Activision Blizzard
",79.99,65,94.13,106,24,-18.70%,17.70%,32.50%,8
SHW,"Sherwin-Williams Company
",715.1,585,688,805,16,-18.20%,-3.80%,12.60%,9
CME,CME Group,170.2,138,176.08,210,13,-18.90%,3.50%,23.40%,4
